"","Tgfa_parent_baseMean","Tgfa_parent_log2FoldChange","Tgfa_parent_lfcSE","Tgfa_parent_stat","Tgfa_parent_pvalue","Tgfa_parent_padj","Tgfa_mut_baseMean","Tgfa_mut_log2FoldChange","Tgfa_mut_lfcSE","Tgfa_mut_stat","Tgfa_mut_pvalue","Tgfa_mut_padj"
"SULF1",705.088319656089,-2.19942027641272,0.225709824687785,-9.74136902308457,2.00830272273802e-22,1.57256917790444e-21,311.320097381863,-1.33755612251571,0.198342863313601,-6.7388706054997,1.5962246967745e-11,1.9170044675686e-10
"SLCO5A1",11.6908863315646,-3.54370422715441,0.583451272309607,-5.08389313442066,3.69776039895488e-07,1.07136735931315e-06,7.12921704880908,-1.93132020296659,0.378162408134384,-4.33446747422807,1.46113388706881e-05,7.2085170175732e-05
"PRDM14",0.145206635459567,0.0435958862970989,0.426822222782767,0.102136939366851,0.918647980941845,NA,0.298880084901876,-0.0511402295009366,0.186006366303927,-0.242683394829218,0.808250671972506,NA
"NCOA2",4042.34203907811,0.358438091536446,0.0406476745107336,8.81814508580337,1.16371405050113e-18,7.51172393272878e-18,3247.21809221218,0.25991693588225,0.0543416205426112,4.7830109062461,1.72688752037391e-06,1.00475893460265e-05
"TRAM1",5962.13462516517,0.0579986148082967,0.0667820562126454,0.868477056260954,0.385133227283249,0.458362578879692,4436.38121500309,0.00652308114742146,0.0652269311679996,0.100006651481651,0.920339044802527,0.946937708759543
"LACTB2",20624.209240073,1.15455365080706,0.108062110954686,10.6841365701821,1.20767565670942e-26,1.18516863071196e-25,20037.7000792364,0.458891259971384,0.1180224011996,3.88817259750755,0.000101001795525899,0.000422148198818931
"XKR9",29.2184892132892,-0.0536120514974892,0.334003798179941,-0.160550027646936,0.872447816327333,0.898382514194403,29.5191814093167,0.00490229653508266,0.304268107034065,0.0161122122440527,0.987144870818336,0.992375566692952
"EYA1",9.38894273695309,0.497842743016157,0.451877210674585,1.09857065707894,0.271955382455578,0.339351327347711,8.41817293520226,0.289408878879265,0.359794546282465,0.805942303854882,0.42027611737581,0.543634974301254
"MSC",8.83253481661392,-2.42778127274795,0.595779406869482,-3.91835182652095,8.91565089806582e-05,0.000200983183296148,3.58045417013628,-1.26724038933828,0.368352753050108,-3.52236056255734,0.000427721979196578,0.00155990955685
"TRPA1",1.38655180408212,-0.226599323457598,0.635048726427162,-0.353200122129132,0.723938416330645,0.771375136080701,0.243011809584714,0.022346084579403,0.156316179668576,0.122100186013945,0.902819674564378,NA
"TERF1",533.999054630118,-0.172256491377374,0.0745691140930698,-2.31002066155394,0.0208870102628141,0.0336232011739924,395.990668229838,0.0108385709098568,0.111270157967768,0.0974066631588102,0.922403453458255,0.94808551367661
"SBSPON",37.0616648119118,0.21397901266255,0.404542419915398,0.529026164037298,0.59678729994649,0.659817255742995,36.2754303220601,0.0464100826281183,0.342755660350932,0.135310993703648,0.892365993300096,0.927258839959917
"C8orf89",10.1258902602845,-0.928613435973525,0.424988401262385,-2.17852488398278,0.0293669816978795,0.0460664505164595,6.261879797299,-0.325732878790072,0.379678102026803,-0.852018770388141,0.394203674115921,0.518001461305402
"RDH10",2463.32052727892,-0.421327318167039,0.0740214690380692,-5.69195985076867,1.25589389495146e-08,4.12204287797078e-08,1865.37553505038,-0.272662576252287,0.0843961434097189,-3.23070910733088,0.0012348354243229,0.00398358014200423
"STAU2",1396.29139468493,0.131679023919559,0.0617300680209824,2.13313569327677,0.0329135965085971,0.0510911224070536,1149.85933053846,0.0601720673316782,0.0875541327184877,0.687253502366524,0.49192299437934,0.611456447151895
"UBE2W",2237.77027257111,0.0921260425341292,0.0496926152209886,1.85391924366018,0.0637507143435943,0.0930669094315454,1840.11474058448,0.0538915684902361,0.0808534689621977,0.666536410396959,0.505068298918163,0.623677519603291
"ELOC",2303.93930606497,0.139904356120001,0.0696721822337313,2.00803876036871,0.0446391729758665,0.0675289600248045,1912.1191931171,0.0771058409884931,0.0603162775574357,1.27836188532047,0.201121856583793,0.305801954458846
"TMEM70",2464.04747936174,0.550997468277697,0.0953553274886045,5.77833025220665,7.54456082242555e-09,2.52375289758051e-08,2126.87945689211,0.188290480766463,0.0757618748167843,2.48530140341861,0.012944178870436,0.0311908927508192
"LY96",190.41676153946,-0.840276574777757,0.119303214925953,-7.04251721303035,1.88797502613471e-12,8.22490397282228e-12,131.825959583349,-0.808309603891187,0.131556282662756,-6.13965026272508,8.27033605491148e-10,7.81069923068766e-09
"JPH1",81.2976899405731,0.0853512478564957,0.193517508664508,0.441011797263551,0.659204456376913,0.715864105845434,66.8429117523938,0.239150915573521,0.202390484992585,1.18156954124488,0.237376545145427,0.348598829966654
"GDAP1",3.79810930463319,-1.2070967696495,0.592474172078921,-2.01725878453955,0.0436685143365849,0.066171324434016,1.21637634305979,-0.313052599028654,0.298150340782339,-1.11077807036233,0.266663888042674,NA
